Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
7.802,1512.791,2402.791,204.364,210.111,-20.648,20.899,312.455,0.095,312.455,89.983,48.805,3.233,31.94,-101.997,0.127,0,-6.453,0.052,75.855,89.967,17498.101,2981,10.819,0.063,9.787,227.008,175.137,3.341,0,0,197.887,0.486,0.28,0.033,0.173,0.486,0.02,0.067,-0,0,0,0,0,-0.001,3.18,90,-0.618,756.182,0.001,330.924,0.637,35257682.103,15.524,189.288,0.05,0.057,0.026
7.852,1522.983,2412.983,203.339,209.074,-20.395,20.709,314.891,0.096,314.891,89.983,48.634,3.596,31.94,-101.997,0.259,0,-4.746,0.018,76.139,89.968,17498.101,2981,10.819,0.063,9.787,226.592,175.137,3.314,0,0,195.068,0.485,0.28,0.033,0.172,0.486,0.04,0.134,-0,0,0,0,0,-0.001,2.516,90,-0.684,755.201,0.001,330.884,0.634,35026832.218,15.524,189.288,0.05,0.057,0.026
7.902,1533.125,2423.125,202.327,208.043,-20.075,20.549,317.318,0.097,317.318,89.982,48.432,4.387,31.94,-101.997,0.503,0,-1.397,0.013,76.301,89.969,17498.101,2981,10.819,0.063,9.787,225.868,175.137,3.268,0,0,192.867,0.485,0.281,0.032,0.172,0.485,0.079,0.259,0,0,0,0,0,-0,2.774,90,-0.75,754.225,0.001,330.844,0.631,34835314.994,15.524,189.288,0.047,0.058,0.026
7.949,1542.656,2432.656,201.384,207.076,-19.902,20.427,319.599,0.098,319.6,89.982,48.217,4.601,31.94,-101.997,0.574,0,2.997,0.012,76.265,89.972,17498.101,2981,10.819,0.063,9.787,225.645,175.137,3.253,0,0,190.831,0.484,0.281,0.032,0.171,0.484,0.091,0.295,-0,0,0,0,0,0,3.151,90,-0.812,753.307,0.001,330.807,0.628,34661280.119,15.524,189.288,0.042,0.058,0.026
7.991,1551.074,2441.074,200.547,206.224,-20.077,20.34,321.615,0.1,321.615,89.982,48.052,3.257,31.94,-101.997,0.191,0,5.719,0.026,76.073,89.973,17498.101,2981,10.819,0.063,9.787,226.719,175.137,3.323,0,0,188.27,0.483,0.281,0.032,0.171,0.483,0.03,0.097,0,0,0,0,0,0.001,2.391,90,-0.867,752.497,0.001,330.774,0.625,34463327.96,15.524,189.288,0.05,0.058,0.026
8.041,1561.076,2451.076,199.542,205.213,-20.124,20.283,324.014,0.101,324.014,89.982,47.91,2.534,31.94,-101.997,0.032,0,-6.187,0.136,75.768,89.973,17498.101,2981,10.819,0.063,9.787,227.166,175.137,3.351,0,0,186.011,0.482,0.281,0.031,0.17,0.482,0.005,0.018,0,0,0,0,0,-0.001,2.582,90,-0.932,751.534,0.001,330.734,0.622,34273574.361,15.524,189.288,0.05,0.058,0.026
8.091,1571.028,2461.028,198.534,204.208,-20.185,20.264,326.407,0.102,326.407,89.982,47.802,1.791,31.94,-101.997,0.263,0,-4.983,0.014,75.481,89.972,17498.101,2981,10.819,0.063,9.787,226.462,175.137,3.306,0,0,183.778,0.482,0.281,0.031,0.17,0.482,0.041,0.136,0,0,0,0,0,-0.001,2.639,90,-0.997,750.577,0.001,330.695,0.619,34079781.725,15.524,189.288,0.05,0.058,0.026
8.141,1580.929,2470.929,197.526,203.208,-20.095,20.165,328.795,0.104,328.795,89.982,47.718,1.683,31.94,-101.997,0.3,0,-2.568,0.01,75.292,89.97,17498.101,2981,10.819,0.063,9.787,226.334,175.137,3.298,0,0,181.723,0.481,0.281,0.03,0.169,0.481,0.047,0.154,-0,0,0,0,0,-0,3.028,90,-1.061,749.623,0.001,330.656,0.617,33901146.477,15.524,189.288,0.05,0.059,0.025
8.191,1590.78,2480.78,196.523,202.215,-20.031,20.08,331.179,0.105,331.179,89.982,47.64,1.407,31.94,-101.996,0.381,0,0.107,0.011,75.228,89.968,17498.101,2981,10.819,0.063,9.787,226.077,175.137,3.281,0,0,179.396,0.48,0.281,0.03,0.169,0.48,0.06,0.196,-0,0,0,0,0,0,2.786,90,-1.125,748.675,0.001,330.617,0.614,33697923.436,15.524,189.288,0.05,0.059,0.025
8.241,1600.582,2490.582,195.525,201.229,-19.859,19.918,333.559,0.106,333.559,89.982,47.569,1.52,31.94,-101.996,0.336,0,3.022,0.013,75.308,89.966,17498.101,2981,10.819,0.063,9.787,226.183,175.137,3.288,0,0,177.023,0.479,0.281,0.029,0.168,0.479,0.052,0.172,-0,0,0,0,0,0,2.476,90,-1.189,747.732,0.001,330.578,0.611,33493394.442,15.524,189.288,0.05,0.062,0.025
8.291,1610.333,2500.333,194.542,200.249,-19.472,19.637,335.935,0.108,335.935,89.982,47.47,2.537,31.94,-101.996,0.003,0,-4.273,1.209,75.505,89.966,17498.101,2981,10.819,0.063,9.787,227.136,175.137,3.349,0,0,174.983,0.479,0.281,0.029,0.168,0.479,0,0.002,-0,0,0,0,0,-0.001,2.835,90,-1.252,746.795,0.001,330.54,0.608,33318108.065,15.524,189.288,0.05,0.062,0.025
8.341,1620.036,2510.036,193.578,199.276,-19.078,19.43,338.305,0.109,338.305,89.982,47.314,3.678,31.94,-101.996,0.385,0,-2.895,0.01,75.7,89.966,17498.101,2981,10.819,0.063,9.787,226.001,175.137,3.276,0,0,173.237,0.478,0.281,0.029,0.168,0.478,0.06,0.198,-0,0,0,0,0,-0,3.417,90,-1.315,745.907,0.001,330.502,0.605,33155577.224,15.524,189.288,0.05,0.062,0.025
8.391,1629.691,2519.691,192.629,198.309,-18.928,19.302,340.666,0.11,340.666,89.981,47.123,3.781,31.94,-101.996,0.435,0,0.423,0.01,75.763,89.967,17498.101,2981,10.819,0.063,9.787,225.838,175.137,3.266,0,0,171.111,0.477,0.282,0.028,0.167,0.477,0.068,0.223,-0,0,0,0,0,0,3.31,90,-1.378,745.024,0.001,330.464,0.603,32965454.805,15.524,189.288,0.05,0.062,0.025
8.441,1639.299,2529.299,191.683,197.348,-18.914,19.202,343.018,0.112,343.018,89.981,46.944,3.316,31.94,-101.996,0.296,0,3.235,0.016,75.667,89.97,17498.101,2981,10.819,0.063,9.787,226.214,175.137,3.29,0,0,168.888,0.476,0.282,0.028,0.167,0.477,0.046,0.151,-0,0,0,0,0,0,3.087,90,-1.44,744.145,0.001,330.426,0.6,32771912.614,15.524,189.288,0.05,0.063,0.025
8.491,1648.859,2538.859,190.737,196.393,-18.948,19.138,345.361,0.113,345.361,89.981,46.794,2.686,31.94,-101.996,0.09,0,4.679,0.05,75.463,89.972,17498.101,2981,10.819,0.063,9.787,226.792,175.137,3.327,0,0,166.771,0.476,0.282,0.028,0.166,0.476,0.014,0.046,-0,0,0,0,0,0.001,2.986,90,-1.503,743.27,0.001,330.388,0.597,32584899.097,15.524,189.288,0.05,0.063,0.025
8.541,1658.373,2548.373,189.788,195.444,-19.004,19.111,347.698,0.114,347.698,89.981,46.677,2.011,31.94,-101.996,0.14,0,-4.479,0.034,75.227,89.972,17498.101,2981,10.819,0.063,9.787,226.625,175.137,3.317,0,0,164.728,0.475,0.282,0.027,0.166,0.475,0.022,0.072,-0,0,0,0,0,-0.001,2.877,90,-1.564,742.4,0.001,330.351,0.594,32398881.269,15.524,189.288,0.05,0.063,0.024
8.591,1667.838,2557.838,188.837,194.499,-19.003,19.07,350.029,0.116,350.029,89.981,46.588,1.594,31.94,-101.996,0.282,0,-2.872,0.018,75.039,89.971,17498.101,2981,10.819,0.063,9.787,226.189,175.137,3.288,0,0,162.793,0.474,0.282,0.027,0.165,0.474,0.044,0.145,0,0,0,0,0,-0,2.876,90,-1.626,741.534,0.001,330.314,0.591,32218664.467,15.524,189.288,0.05,0.063,0.024
8.641,1677.256,2567.256,187.889,193.56,-18.93,18.985,352.357,0.117,352.357,89.981,46.513,1.444,31.94,-101.996,0.331,0,-0.614,0.013,74.951,89.969,17498.101,2981,10.819,0.063,9.787,226.027,175.137,3.278,0,0,160.853,0.474,0.282,0.027,0.165,0.474,0.052,0.169,-0,0,0,0,0,-0,2.841,90,-1.687,740.673,0.001,330.276,0.588,32038246.067,15.524,189.288,0.05,0.064,0.024
8.691,1686.627,2576.627,186.946,192.627,-18.744,18.823,354.681,0.119,354.681,89.981,46.436,1.718,31.94,-101.996,0.23,0,1.454,0.016,74.975,89.966,17498.101,2981,10.819,0.063,9.787,226.301,175.137,3.296,0,0,158.964,0.473,0.282,0.026,0.165,0.473,0.036,0.117,-0,0,0,0,0,0,2.94,90,-1.748,739.815,0.001,330.24,0.586,31864742.314,15.524,189.288,0.05,0.064,0.024
8.741,1695.951,2585.951,186.014,191.7,-18.573,18.671,357,0.12,357,89.981,46.345,1.905,31.94,-101.996,0.151,0,2.771,0.02,75.083,89.964,17498.101,2981,10.819,0.063,9.787,226.511,175.137,3.309,0,0,156.946,0.472,0.282,0.026,0.164,0.472,0.023,0.077,0,0,0,0,0,0,2.684,90,-1.809,738.962,0.001,330.203,0.583,31677574.068,15.524,189.288,0.05,0.064,0.024
8.791,1705.229,2595.229,185.09,190.779,-18.369,18.504,359.315,0.121,359.315,89.981,46.242,2.235,31.94,-101.996,0.016,0,3.373,0.164,75.241,89.964,17498.101,2981,10.819,0.063,9.787,226.889,175.137,3.334,0,0,154.98,0.472,0.282,0.026,0.164,0.472,0.002,0.008,-0,0,0,0,0,0,2.466,90,-1.869,738.114,0.001,330.166,0.58,31493302.877,15.524,189.288,0.05,0.064,0.024
8.841,1714.46,2604.46,184.179,189.863,-18.078,18.322,361.624,0.123,361.624,89.981,46.112,2.981,31.94,-101.996,0.268,0,-2.55,0.009,75.397,89.964,17498.101,2981,10.819,0.063,9.787,226.131,175.137,3.285,0,0,153.344,0.471,0.282,0.025,0.163,0.471,0.042,0.137,-0,0,0,0,0,-0,2.796,90,-1.929,737.269,0.001,330.13,0.577,31333268.786,15.524,189.288,0.05,0.065,0.024
8.891,1723.647,2613.647,183.279,188.953,-17.956,18.208,363.926,0.124,363.926,89.98,45.959,3.021,31.94,-101.996,0.299,0,-0.475,0.006,75.473,89.964,17498.101,2981,10.819,0.063,9.787,226.021,175.137,3.278,0,0,151.438,0.47,0.283,0.025,0.163,0.471,0.046,0.152,0,0,0,0,0,-0,2.556,90,-1.989,736.429,0.001,330.094,0.574,31150310.508,15.524,189.288,0.05,0.065,0.024
8.941,1732.788,2622.788,182.384,188.048,-17.822,18.1,366.22,0.126,366.22,89.98,45.805,3.16,31.94,-101.996,0.359,0,1.704,0.006,75.444,89.966,17498.101,2981,10.819,0.063,9.787,225.831,175.137,3.265,0,0,149.784,0.47,0.283,0.025,0.163,0.47,0.056,0.183,-0,0,0,0,0,0,2.777,90,-2.048,735.593,0.001,330.058,0.572,30987997.627,15.524,189.288,0.05,0.065,0.024
8.991,1741.885,2631.885,181.494,187.148,-17.785,18.02,368.506,0.127,368.506,89.98,45.652,2.898,31.94,-101.996,0.27,0,3.875,0.009,75.302,89.967,17498.101,2981,10.819,0.063,9.787,226.073,175.137,3.281,0,0,148.05,0.469,0.283,0.024,0.162,0.469,0.042,0.136,-0,0,0,0,0,0.001,2.871,90,-2.107,734.76,0.001,330.022,0.569,30821445.719,15.524,189.288,0.05,0.065,0.023
9.041,1750.938,2640.938,180.605,186.252,-17.775,17.959,370.785,0.129,370.785,89.98,45.515,2.561,31.94,-101.996,0.144,0,5.225,0.02,75.071,89.968,17498.101,2981,10.819,0.063,9.787,226.423,175.137,3.304,0,0,146.417,0.469,0.283,0.024,0.162,0.469,0.022,0.072,0,0,0,0,0,0.001,3.125,90,-2.166,733.932,0.001,329.986,0.567,30662896.25,15.524,189.288,0.05,0.065,0.023
9.091,1759.946,2649.946,179.716,185.361,-17.809,17.929,373.058,0.13,373.058,89.98,45.399,2.072,31.94,-101.996,0.046,0,-5.549,0.071,74.796,89.968,17498.101,2981,10.819,0.063,9.787,226.695,175.137,3.321,0,0,144.779,0.468,0.283,0.024,0.161,0.468,0.007,0.025,-0,0,0,0,0,-0.001,3.286,90,-2.225,733.108,0.001,329.951,0.564,30501520.205,15.524,189.288,0.05,0.066,0.023
9.141,1768.909,2658.909,178.824,184.475,-17.865,17.93,375.326,0.131,375.326,89.98,45.31,1.516,31.94,-101.996,0.263,0,-4.531,0.013,74.539,89.968,17498.101,2981,10.819,0.063,9.787,226.042,175.137,3.279,0,0,143.12,0.467,0.283,0.024,0.161,0.468,0.041,0.134,0,0,0,0,0,-0.001,3.27,90,-2.283,732.288,0.001,329.915,0.562,30333632.274,15.524,189.288,0.05,0.066,0.023
9.191,1777.828,2667.828,177.93,183.592,-17.858,17.899,377.589,0.133,377.589,89.98,45.243,1.207,31.94,-101.996,0.383,0,-2.408,0.01,74.362,89.967,17498.101,2981,10.819,0.063,9.787,225.678,175.137,3.256,0,0,141.5,0.467,0.283,0.023,0.161,0.467,0.06,0.195,-0,0,0,0,0,-0,3.28,90,-2.341,731.472,0.001,329.88,0.559,30167988.673,15.524,189.288,0.05,0.066,0.023
9.241,1786.702,2676.702,177.04,182.715,-17.738,17.786,379.85,0.134,379.85,89.98,45.182,1.303,31.94,-101.996,0.344,0,-0.049,0.011,74.302,89.965,17498.101,2981,10.819,0.063,9.787,225.775,175.137,3.262,0,0,139.919,0.466,0.283,0.023,0.16,0.467,0.053,0.174,0,0,0,0,0,-0,3.429,90,-2.399,730.661,0.001,329.845,0.557,30009374.895,15.524,189.288,0.05,0.066,0.023
9.291,1795.532,2685.532,176.158,181.842,-17.558,17.631,382.107,0.136,382.107,89.98,45.11,1.604,31.94,-101.996,0.218,0,1.729,0.011,74.347,89.963,17498.101,2981,10.819,0.063,9.787,226.124,175.137,3.284,0,0,138.318,0.466,0.283,0.023,0.16,0.466,0.034,0.11,0,0,0,0,0,0,3.526,90,-2.456,729.853,0.001,329.811,0.554,29849629.317,15.524,189.288,0.05,0.067,0.023
9.341,1804.318,2694.318,175.284,180.974,-17.392,17.489,384.361,0.137,384.361,89.98,45.023,1.834,31.94,-101.996,0.112,0,2.728,0.018,74.462,89.963,17498.101,2981,10.819,0.063,9.787,226.416,175.137,3.303,0,0,136.628,0.465,0.283,0.022,0.16,0.465,0.017,0.057,0,0,0,0,0,0,3.344,90,-2.513,729.049,0.001,329.776,0.551,29678839.268,15.524,189.288,0.05,0.067,0.023
9.391,1813.061,2703.061,174.419,180.111,-17.203,17.339,386.609,0.139,386.609,89.979,44.924,2.168,31.94,-101.996,0.04,0,-2.964,0.04,74.608,89.963,17498.101,2981,10.819,0.063,9.786,226.613,175.137,3.316,0,0,135.001,0.465,0.283,0.022,0.159,0.465,0.006,0.021,0,0,0,0,0,-0,3.226,90,-2.57,728.249,0.001,329.742,0.549,29511965.715,15.524,189.288,0.05,0.067,0.023
9.441,1821.76,2711.76,173.563,179.254,-17.025,17.205,388.853,0.14,388.853,89.979,44.807,2.482,31.94,-101.996,0.186,0,-2.259,0.006,74.742,89.963,17498.101,2981,10.819,0.063,9.786,226.169,175.137,3.287,0,0,133.43,0.464,0.283,0.022,0.159,0.464,0.029,0.095,-0,0,0,0,0,-0,3.144,90,-2.626,727.453,0.001,329.707,0.546,29347662.373,15.524,189.288,0.05,0.067,0.022
9.491,1830.417,2720.417,172.717,178.401,-16.825,17.077,391.09,0.142,391.09,89.979,44.672,2.922,31.94,-101.996,0.379,0,-0.581,0.006,74.817,89.964,17498.101,2981,10.819,0.063,9.786,225.596,175.137,3.25,0,0,132.07,0.464,0.284,0.022,0.158,0.464,0.059,0.191,0,0,0,0,0,-0,3.426,90,-2.683,726.662,0.001,329.673,0.544,29200202.276,15.524,189.288,0.05,0.068,0.022
9.541,1839.032,2729.032,171.88,177.551,-16.649,16.974,393.32,0.143,393.32,89.979,44.515,3.309,31.94,-101.996,0.543,0,2.169,0.004,74.781,89.965,17498.101,2981,10.819,0.063,9.786,225.116,175.137,3.219,0,0,130.874,0.463,0.284,0.021,0.158,0.464,0.085,0.274,-0,0,0,0,0,0,3.998,90,-2.739,725.873,0.001,329.639,0.542,29066463.688,15.524,189.288,0.05,0.068,0.022
9.591,1847.605,2737.605,171.049,176.706,-16.656,16.913,395.541,0.145,395.541,89.979,44.356,2.936,31.94,-101.996,0.397,0,5.042,0.007,74.597,89.965,17498.101,2981,10.819,0.063,9.786,225.516,175.137,3.245,0,0,129.347,0.463,0.284,0.021,0.158,0.463,0.062,0.2,0,0,0,0,0,0.001,4.045,90,-2.794,725.089,0.001,329.605,0.539,28910577.829,15.524,189.288,0.05,0.068,0.022
9.641,1856.137,2746.137,170.216,175.865,-16.66,16.866,397.756,0.146,397.756,89.979,44.218,2.628,31.94,-101.996,0.266,0,6.913,0.012,74.295,89.966,17498.101,2981,10.819,0.063,9.786,225.882,175.137,3.269,0,0,128.039,0.462,0.284,0.021,0.158,0.462,0.041,0.133,-0,0,0,0,0,0.002,4.496,90,-2.85,724.309,0.001,329.572,0.537,28773712.393,15.524,189.288,0.05,0.068,0.022
9.691,1864.627,2754.627,169.379,175.028,-16.819,16.908,399.964,0.148,399.964,89.979,44.107,1.739,31.94,-101.996,0.123,0,-7.404,0.033,73.928,89.966,17498.101,2981,10.819,0.063,9.786,226.285,175.137,3.295,0,0,126.475,0.462,0.284,0.021,0.157,0.462,0.019,0.065,0,0,0,0,0,-0.002,4.298,90,-2.905,723.532,0.001,329.538,0.535,28608941.884,15.524,189.288,0.05,0.068,0.022
9.741,1873.075,2763.075,168.534,174.194,-16.972,16.997,402.167,0.149,402.167,89.979,44.042,0.929,31.94,-101.996,0.479,0,-5.623,0.012,73.595,89.966,17498.101,2981,10.819,0.063,9.786,225.241,175.137,3.227,0,0,125.012,0.461,0.284,0.02,0.157,0.461,0.075,0.243,-0,0,0,0,0,-0.001,4.05,90,-2.96,722.759,0.001,329.505,0.532,28442903.365,15.524,189.288,0.05,0.069,0.022
9.791,1881.48,2771.48,167.684,173.362,-16.989,17,404.368,0.151,404.368,89.979,44.005,0.613,31.94,-101.996,0.619,0,-2.455,0.009,73.39,89.964,17498.101,2981,10.819,0.063,9.786,224.831,175.137,3.201,0,0,123.651,0.461,0.284,0.02,0.156,0.461,0.097,0.311,-0,0,0,0,0,-0,4.048,90,-3.015,721.99,0.001,329.472,0.529,28288693.483,15.524,189.288,0.05,0.069,0.022
9.841,1889.843,2779.843,166.839,172.535,-16.788,16.82,406.568,0.152,406.568,89.979,43.966,1.042,31.94,-101.996,0.434,0,0.575,0.009,73.347,89.963,17498.101,2981,10.819,0.063,9.786,225.343,175.137,3.234,0,0,122.403,0.46,0.284,0.02,0.156,0.46,0.068,0.219,0,0,0,0,0,0,4.563,90,-3.069,721.225,0.001,329.439,0.527,28158668.844,15.524,189.288,0.05,0.069,0.022
9.891,1898.164,2788.164,166.005,171.713,-16.569,16.637,408.764,0.154,408.764,89.978,43.902,1.507,31.94,-101.996,0.22,0,2.356,0.013,73.425,89.962,17498.101,2981,10.819,0.063,9.786,225.949,175.137,3.273,0,0,121.078,0.46,0.284,0.02,0.156,0.46,0.034,0.11,-0,0,0,0,0,0,4.814,90,-3.123,720.464,0.001,329.406,0.525,28017875.686,15.524,189.288,0.05,0.069,0.022
9.941,1906.444,2796.444,165.182,170.895,-16.369,16.479,410.957,0.155,410.957,89.978,43.817,1.901,31.94,-101.996,0.025,0,3.009,0.097,73.564,89.961,17498.101,2981,10.819,0.063,9.786,226.507,175.137,3.309,0,0,119.703,0.459,0.284,0.02,0.156,0.459,0.004,0.012,0,0,0,0,0,0,4.833,90,-3.177,719.707,0.001,329.374,0.523,27867463.847,15.524,189.288,0.05,0.07,0.021
9.991,1914.683,2804.683,164.37,170.081,-16.121,16.315,413.146,0.157,413.146,89.978,43.707,2.513,31.94,-101.996,0.271,0,-2.373,0.007,73.705,89.96,17498.101,2981,10.819,0.063,9.786,225.777,175.137,3.262,0,0,118.537,0.459,0.284,0.019,0.155,0.459,0.042,0.137,0,0,0,0,0,-0,5.187,90,-3.23,718.953,0.001,329.341,0.521,27733409.536,15.524,189.288,0.05,0.07,0.021
10.041,1922.881,2812.881,163.567,169.272,-15.99,16.215,415.328,0.158,415.328,89.978,43.575,2.693,31.94,-101.996,0.369,0,-0.576,0.006,73.78,89.961,17498.101,2981,10.819,0.063,9.786,225.481,175.137,3.243,0,0,117.21,0.458,0.284,0.019,0.155,0.459,0.057,0.186,-0,0,0,0,0,-0,5.151,90,-3.284,718.203,0.001,329.309,0.518,27582211.525,15.524,189.288,0.05,0.07,0.021
10.091,1931.04,2821.04,162.77,168.467,-15.901,16.135,417.503,0.16,417.503,89.978,43.439,2.736,31.94,-101.996,0.4,0,1.465,0.008,73.759,89.962,17498.101,2981,10.819,0.063,9.786,225.379,175.137,3.236,0,0,115.93,0.458,0.284,0.019,0.155,0.458,0.062,0.201,0,0,0,0,0,0,5.214,90,-3.337,717.457,0.001,329.277,0.516,27436445.214,15.524,189.288,0.05,0.07,0.021
10.141,1939.158,2829.158,161.975,167.665,-15.949,16.108,419.672,0.162,419.672,89.978,43.312,2.26,31.94,-101.996,0.189,0,3.09,0.015,73.64,89.964,17498.101,2981,10.819,0.063,9.786,225.976,175.137,3.275,0,0,114.415,0.457,0.285,0.019,0.154,0.457,0.029,0.094,-0,0,0,0,0,0,4.816,90,-3.39,716.714,0.001,329.245,0.513,27270369.942,15.524,189.288,0.05,0.071,0.021
10.191,1947.237,2837.237,161.177,166.868,-15.932,16.065,421.835,0.163,421.835,89.978,43.205,2.06,31.94,-101.996,0.096,0,3.758,0.035,73.467,89.965,17498.101,2981,10.819,0.063,9.786,226.236,175.137,3.292,0,0,113.174,0.457,0.285,0.018,0.154,0.457,0.015,0.048,0,0,0,0,0,0.001,4.933,90,-3.442,715.975,0.001,329.213,0.511,27128940.028,15.524,189.288,0.05,0.071,0.021
10.241,1955.276,2845.276,160.38,166.073,-15.971,16.058,423.993,0.165,423.993,89.978,43.111,1.668,31.94,-101.996,0.093,0,-3.801,0.039,73.274,89.966,17498.101,2981,10.819,0.063,9.786,226.232,175.137,3.291,0,0,111.851,0.456,0.285,0.018,0.154,0.457,0.014,0.047,-0,0,0,0,0,-0.001,4.799,90,-3.494,715.24,0.001,329.181,0.508,26976757.652,15.524,189.288,0.05,0.071,0.021
10.291,1963.275,2853.275,159.58,165.282,-16.014,16.064,426.146,0.166,426.146,89.978,43.038,1.268,31.94,-101.995,0.288,0,-2.815,0.014,73.105,89.965,17498.101,2981,10.819,0.063,9.786,225.653,175.137,3.254,0,0,110.525,0.456,0.285,0.018,0.153,0.456,0.044,0.145,0,0,0,0,0,-0,4.557,90,-3.546,714.508,0.001,329.15,0.506,26820532.279,15.524,189.288,0.05,0.071,0.021
10.341,1971.234,2861.234,158.782,164.494,-15.867,15.943,428.296,0.168,428.296,89.978,42.97,1.552,31.94,-101.995,0.148,0,-1.605,0.012,72.997,89.964,17498.101,2981,10.819,0.063,9.786,226.051,175.137,3.28,0,0,109.512,0.456,0.285,0.018,0.153,0.456,0.023,0.074,0,0,0,0,0,-0,5.135,90,-3.598,713.78,0.001,329.118,0.504,26703020.722,15.524,189.288,0.05,0.072,0.021
10.391,1979.153,2869.153,157.991,163.71,-15.799,15.874,430.443,0.17,430.443,89.977,42.892,1.54,31.94,-101.995,0.149,0,-0.946,0.008,72.933,89.963,17498.101,2981,10.819,0.063,9.786,226.038,175.137,3.279,0,0,108.304,0.455,0.285,0.018,0.153,0.455,0.023,0.074,0,0,0,0,0,-0,5.164,90,-3.649,713.055,0.001,329.087,0.502,26560898.266,15.524,189.288,0.05,0.072,0.021
10.441,1987.033,2877.033,157.204,162.929,-15.694,15.781,432.586,0.171,432.586,89.977,42.812,1.658,31.94,-101.995,0.083,0,-0.339,0.004,72.903,89.962,17498.101,2981,10.819,0.063,9.786,226.222,175.137,3.291,0,0,107.147,0.455,0.285,0.017,0.152,0.455,0.013,0.041,0,0,0,0,0,-0,5.294,90,-3.701,712.334,0.001,329.056,0.5,26424346.506,15.524,189.288,0.05,0.072,0.02
10.491,1994.874,2884.874,156.422,162.152,-15.575,15.681,434.724,0.173,434.724,89.977,42.725,1.826,31.94,-101.995,0.013,0,0.17,-0.008,72.892,89.961,17498.101,2981,10.819,0.063,9.786,226.42,175.137,3.303,0,0,106.022,0.454,0.285,0.017,0.152,0.454,0.002,0.006,-0,0,0,0,0,0,5.458,90,-3.752,711.617,0.001,329.025,0.497,26290262.122,15.524,189.288,0.05,0.072,0.02
10.541,2002.675,2892.675,155.645,161.378,-15.506,15.612,436.858,0.174,436.858,89.977,42.634,1.81,31.94,-101.995,0.015,0,0.268,-0.012,72.881,89.96,17498.101,2981,10.819,0.063,9.786,226.403,175.137,3.302,0,0,104.799,0.454,0.285,0.017,0.152,0.454,0.002,0.008,-0,0,0,0,0,0,5.349,90,-3.802,710.903,0.001,328.995,0.495,26144040.825,15.524,189.288,0.05,0.072,0.02
10.591,2010.438,2900.438,154.872,160.609,-15.414,15.529,438.987,0.176,438.987,89.977,42.542,1.89,31.94,-101.995,0.066,0,0.437,-0.005,72.864,89.96,17498.101,2981,10.819,0.063,9.786,226.24,175.137,3.292,0,0,103.66,0.454,0.285,0.017,0.152,0.454,0.01,0.033,-0,0,0,0,0,0,5.404,90,-3.853,710.193,0.001,328.964,0.493,26006412.927,15.524,189.288,0.05,0.073,0.02
10.641,2018.163,2908.163,154.104,159.842,-15.308,15.441,441.112,0.178,441.112,89.977,42.444,2.026,31.94,-101.995,0.146,0,0.936,-0.004,72.831,89.96,17498.101,2981,10.819,0.063,9.786,225.995,175.137,3.276,0,0,102.596,0.453,0.285,0.017,0.151,0.453,0.022,0.073,0,0,0,0,0,0,5.597,90,-3.903,709.487,0.001,328.934,0.491,25876141.959,15.524,189.288,0.05,0.073,0.02
10.691,2025.849,2915.849,153.341,159.079,-15.203,15.357,443.232,0.179,443.232,89.977,42.339,2.169,31.94,-101.995,0.229,0,1.813,-0.003,72.764,89.96,17498.101,2981,10.819,0.063,9.786,225.744,175.137,3.26,0,0,101.596,0.453,0.285,0.017,0.151,0.453,0.035,0.114,-0,0,0,0,0,0,5.905,90,-3.953,708.784,0.001,328.903,0.489,25752159.894,15.524,189.288,0.05,0.073,0.02
10.741,2033.497,2923.497,152.581,158.319,-15.215,15.332,445.346,0.181,445.346,89.977,42.236,1.894,31.94,-101.995,0.089,0,2.614,-0.005,72.651,89.96,17498.101,2981,10.819,0.063,9.786,226.142,175.137,3.285,0,0,100.371,0.452,0.285,0.016,0.151,0.452,0.014,0.044,0,0,0,0,0,0,5.692,90,-4.003,708.084,0.001,328.873,0.486,25603974.76,15.524,189.288,0.05,0.073,0.02
